tgt,src
"[211, 166, 50, 14, 3]","[58, 79, 99, 104, 104]"
"[8, 91, 204, 91, 7]","[111, 82, 38, 69, 101]"
"[201, 173, 41, 14, 3]","[57, 65, 107, 95, 108]"
"[209, 170, 41, 6, 2]","[54, 68, 105, 105, 96]"
"[4, 96, 232, 104, 11]","[124, 72, 49, 91, 111]"
"[230, 146, 28, 12, 4]","[43, 67, 96, 119, 95]"
"[77, 98, 78, 87, 92]","[84, 86, 83, 90, 89]"
"[16, 95, 220, 100, 14]","[98, 101, 62, 85, 99]"
"[4, 98, 198, 101, 10]","[106, 69, 47, 84, 105]"
"[175, 175, 51, 10, 5]","[61, 76, 85, 86, 108]"
"[14, 91, 208, 113, 13]","[93, 109, 55, 77, 105]"
"[207, 167, 33, 9, 5]","[51, 65, 83, 98, 124]"
"[220, 174, 37, 5, 1]","[43, 60, 114, 111, 109]"
"[12, 92, 196, 87, 17]","[97, 85, 57, 71, 94]"
"[194, 159, 41, 12, 2]","[54, 47, 106, 95, 106]"
"[83, 76, 98, 81, 87]","[81, 89, 92, 79, 84]"
"[6, 106, 224, 100, 12]","[102, 101, 54, 91, 100]"
"[100, 91, 91, 64, 89]","[80, 77, 99, 83, 96]"
"[96, 85, 84, 81, 80]","[92, 76, 85, 79, 94]"
"[11, 103, 231, 84, 14]","[107, 100, 45, 86, 105]"
"[8, 101, 209, 92, 4]","[96, 88, 44, 91, 95]"
"[200, 157, 40, 10, 2]","[45, 66, 93, 92, 113]"
"[202, 174, 36, 11, 5]","[47, 61, 101, 115, 104]"
"[194, 149, 46, 14, 3]","[60, 64, 89, 97, 96]"
"[206, 167, 43, 15, 2]","[68, 65, 86, 109, 105]"
"[208, 174, 46, 10, 5]","[58, 62, 101, 104, 118]"
"[90, 95, 85, 69, 77]","[89, 78, 81, 81, 87]"
"[204, 144, 49, 16, 4]","[44, 55, 95, 101, 122]"
"[91, 79, 97, 79, 72]","[107, 67, 82, 70, 92]"
"[213, 171, 48, 12, 2]","[64, 68, 98, 113, 103]"
"[70, 89, 77, 101, 88]","[90, 92, 86, 82, 75]"
"[14, 108, 198, 89, 14]","[100, 78, 52, 76, 117]"
"[199, 157, 43, 7, 5]","[51, 61, 89, 94, 116]"
"[6, 87, 209, 109, 11]","[114, 93, 65, 62, 88]"
"[11, 101, 222, 97, 7]","[108, 72, 57, 89, 112]"
"[189, 179, 45, 9, 3]","[60, 49, 97, 118, 101]"
"[185, 146, 48, 17, 5]","[52, 55, 100, 111, 83]"
"[225, 148, 48, 11, 4]","[54, 73, 100, 104, 105]"
"[67, 84, 98, 76, 78]","[75, 73, 77, 76, 102]"
"[13, 107, 188, 88, 8]","[109, 76, 55, 83, 81]"
"[87, 85, 96, 84, 91]","[85, 81, 95, 102, 80]"
"[89, 85, 79, 80, 88]","[82, 93, 80, 89, 77]"
"[89, 82, 85, 79, 76]","[82, 93, 79, 72, 85]"
"[200, 155, 44, 15, 5]","[53, 60, 101, 101, 104]"
"[4, 94, 225, 83, 6]","[93, 62, 48, 88, 121]"
"[12, 104, 216, 104, 14]","[122, 83, 59, 77, 109]"
"[101, 80, 86, 86, 79]","[95, 72, 88, 87, 90]"
"[9, 103, 198, 108, 9]","[99, 92, 56, 80, 100]"
"[111, 67, 87, 82, 96]","[77, 85, 102, 94, 85]"
"[9, 95, 233, 91, 8]","[110, 91, 48, 84, 103]"
"[228, 134, 44, 5, 4]","[58, 74, 79, 113, 91]"
"[93, 81, 101, 80, 77]","[92, 83, 82, 89, 86]"
"[71, 66, 83, 91, 90]","[80, 84, 90, 69, 78]"
"[73, 88, 62, 95, 90]","[88, 83, 72, 79, 86]"
"[68, 81, 82, 105, 79]","[93, 81, 82, 73, 86]"
"[87, 92, 76, 79, 91]","[76, 99, 99, 78, 73]"
"[197, 175, 50, 14, 3]","[69, 75, 101, 96, 98]"
"[220, 146, 53, 15, 6]","[54, 66, 99, 116, 105]"
"[9, 100, 216, 101, 1]","[99, 90, 42, 78, 118]"
"[83, 84, 74, 86, 75]","[77, 74, 85, 81, 85]"
"[184, 156, 48, 14, 4]","[54, 59, 93, 96, 104]"
"[12, 95, 223, 92, 9]","[102, 89, 52, 92, 96]"
"[218, 133, 50, 6, 2]","[45, 70, 95, 99, 100]"
"[8, 94, 234, 92, 4]","[122, 78, 42, 86, 104]"
"[80, 71, 96, 83, 91]","[95, 87, 88, 86, 65]"
"[6, 89, 206, 94, 9]","[96, 67, 57, 86, 98]"
"[8, 100, 221, 86, 8]","[98, 99, 47, 71, 108]"
"[11, 109, 210, 106, 10]","[95, 66, 69, 88, 128]"
"[6, 107, 216, 107, 7]","[112, 86, 61, 70, 114]"
"[11, 92, 188, 101, 9]","[109, 67, 51, 74, 100]"
"[5, 85, 229, 94, 10]","[92, 92, 42, 85, 112]"
"[89, 76, 88, 75, 96]","[74, 86, 94, 83, 87]"
"[8, 116, 231, 85, 6]","[104, 86, 52, 94, 110]"
"[184, 175, 57, 10, 5]","[63, 59, 99, 98, 112]"
"[8, 99, 208, 103, 7]","[100, 69, 60, 84, 112]"
"[199, 177, 41, 17, 1]","[55, 63, 109, 103, 105]"
"[5, 99, 220, 101, 5]","[101, 78, 44, 92, 115]"
"[13, 95, 207, 99, 7]","[93, 87, 51, 85, 105]"
"[191, 178, 44, 12, 3]","[58, 64, 88, 113, 105]"
"[10, 103, 222, 99, 9]","[88, 97, 72, 90, 96]"
"[15, 85, 186, 106, 13]","[113, 72, 61, 69, 90]"
"[73, 71, 108, 80, 89]","[83, 91, 87, 86, 74]"
"[63, 93, 72, 115, 69]","[81, 66, 102, 83, 80]"
"[15, 84, 226, 89, 6]","[90, 89, 53, 84, 104]"
"[213, 149, 48, 10, 3]","[57, 65, 106, 95, 100]"
"[98, 93, 80, 82, 79]","[80, 84, 101, 72, 95]"
"[231, 146, 35, 6, 8]","[52, 71, 89, 102, 112]"
"[19, 104, 215, 95, 12]","[116, 92, 44, 88, 105]"
"[71, 87, 86, 75, 84]","[93, 78, 84, 81, 67]"
"[12, 107, 183, 87, 13]","[82, 79, 62, 78, 101]"
"[6, 104, 231, 97, 8]","[94, 91, 53, 85, 123]"
"[2, 101, 225, 98, 9]","[87, 93, 65, 92, 98]"
"[205, 183, 40, 17, 2]","[72, 68, 100, 93, 114]"
"[231, 156, 42, 5, 2]","[53, 67, 89, 129, 98]"
"[74, 96, 85, 79, 82]","[92, 74, 84, 90, 76]"
"[224, 148, 41, 17, 6]","[48, 67, 106, 95, 120]"
"[195, 153, 40, 12, 3]","[61, 68, 82, 95, 97]"
"[201, 177, 41, 10, 3]","[55, 68, 84, 111, 114]"
"[88, 80, 76, 92, 87]","[90, 84, 86, 83, 80]"
"[89, 85, 91, 92, 73]","[88, 92, 77, 89, 84]"
"[64, 76, 93, 101, 89]","[94, 72, 87, 90, 80]"
"[194, 158, 49, 9, 3]","[59, 63, 103, 98, 90]"
"[10, 115, 217, 96, 12]","[95, 97, 60, 90, 108]"
"[213, 146, 37, 8, 3]","[54, 68, 98, 97, 90]"
"[81, 90, 78, 71, 95]","[91, 65, 92, 98, 69]"
"[83, 95, 84, 72, 71]","[82, 84, 75, 73, 91]"
"[202, 163, 58, 14, 9]","[61, 70, 105, 97, 113]"
"[84, 85, 89, 85, 86]","[84, 83, 92, 90, 80]"
"[8, 88, 216, 96, 9]","[108, 77, 42, 94, 96]"
"[190, 179, 52, 11, 3]","[58, 64, 107, 99, 107]"
"[16, 92, 201, 95, 11]","[95, 72, 55, 85, 108]"
"[7, 95, 209, 116, 9]","[96, 89, 58, 96, 97]"
"[86, 85, 71, 89, 79]","[76, 72, 68, 95, 99]"
"[12, 102, 233, 92, 7]","[109, 76, 63, 83, 115]"
"[213, 164, 34, 16, 1]","[52, 62, 108, 111, 95]"
"[13, 97, 213, 90, 9]","[106, 71, 48, 90, 107]"
"[85, 84, 84, 75, 102]","[103, 80, 72, 91, 84]"
"[223, 167, 42, 11, 4]","[58, 65, 114, 110, 100]"
"[12, 94, 222, 80, 13]","[103, 81, 50, 95, 92]"
"[81, 78, 85, 97, 86]","[93, 82, 95, 74, 83]"
"[78, 86, 96, 81, 73]","[76, 81, 84, 85, 88]"
"[9, 99, 192, 95, 10]","[86, 95, 55, 68, 101]"
"[80, 87, 89, 75, 96]","[84, 78, 86, 86, 93]"
"[218, 174, 40, 7, 4]","[51, 76, 94, 119, 103]"
"[169, 171, 41, 17, 8]","[57, 71, 89, 95, 94]"
"[12, 115, 215, 88, 11]","[103, 74, 60, 80, 124]"
"[192, 173, 43, 14, 3]","[69, 65, 107, 99, 85]"
"[82, 88, 72, 95, 103]","[89, 81, 95, 84, 91]"
"[11, 89, 226, 94, 15]","[116, 103, 53, 81, 82]"
"[200, 173, 45, 14, 3]","[57, 76, 85, 90, 127]"
"[4, 94, 233, 101, 4]","[104, 83, 58, 83, 108]"
"[68, 101, 89, 80, 94]","[97, 78, 81, 97, 79]"
"[206, 165, 47, 15, 1]","[57, 82, 89, 105, 101]"
"[207, 166, 31, 12, 1]","[68, 60, 85, 87, 117]"
"[198, 154, 34, 13, 2]","[42, 76, 83, 95, 105]"
"[77, 79, 97, 82, 79]","[84, 85, 78, 87, 80]"
"[6, 97, 199, 98, 8]","[98, 87, 50, 75, 98]"
"[69, 94, 71, 94, 86]","[67, 85, 96, 83, 83]"
"[212, 165, 38, 9, 5]","[52, 60, 102, 109, 106]"
"[8, 95, 205, 119, 13]","[113, 92, 58, 79, 98]"
"[81, 80, 95, 80, 86]","[92, 87, 89, 69, 85]"
"[5, 82, 237, 94, 13]","[101, 83, 46, 89, 112]"
"[88, 77, 81, 72, 85]","[81, 80, 83, 79, 80]"
"[182, 164, 42, 12, 8]","[45, 72, 95, 103, 93]"
"[95, 83, 94, 88, 68]","[73, 98, 84, 81, 92]"
"[198, 157, 47, 5, 2]","[60, 56, 87, 107, 99]"
"[207, 162, 52, 15, 9]","[60, 66, 113, 106, 100]"
"[8, 99, 198, 91, 8]","[113, 76, 51, 72, 92]"
"[207, 172, 40, 17, 6]","[51, 75, 91, 113, 112]"
"[85, 89, 101, 67, 82]","[82, 89, 86, 92, 75]"
"[80, 79, 89, 77, 88]","[86, 83, 75, 93, 76]"
"[184, 170, 38, 13, 4]","[62, 51, 93, 103, 100]"
"[207, 154, 41, 11, 7]","[54, 85, 91, 98, 92]"
"[10, 103, 211, 101, 14]","[119, 67, 62, 78, 113]"
"[86, 97, 90, 81, 93]","[88, 75, 84, 95, 105]"
"[9, 112, 201, 82, 8]","[86, 67, 65, 83, 111]"
"[219, 177, 37, 11, 3]","[56, 64, 105, 101, 121]"
"[70, 102, 89, 103, 82]","[88, 79, 88, 85, 106]"
"[12, 122, 189, 106, 13]","[113, 84, 64, 76, 105]"
"[206, 153, 33, 16, 8]","[49, 64, 104, 96, 103]"
"[12, 94, 211, 111, 9]","[116, 82, 56, 80, 103]"
"[79, 81, 71, 83, 86]","[73, 91, 92, 74, 70]"
"[237, 143, 46, 8, 5]","[51, 78, 83, 128, 99]"
"[13, 120, 203, 86, 12]","[98, 79, 56, 91, 110]"
"[88, 81, 93, 81, 92]","[74, 81, 88, 98, 94]"
"[91, 91, 90, 94, 73]","[79, 81, 93, 94, 92]"
"[200, 166, 41, 5, 4]","[49, 67, 91, 104, 105]"
"[212, 144, 41, 3, 4]","[51, 60, 81, 119, 93]"
"[220, 170, 38, 11, 2]","[63, 69, 96, 120, 93]"
"[90, 80, 86, 88, 96]","[97, 86, 71, 98, 88]"
"[194, 159, 42, 6, 3]","[55, 52, 85, 102, 110]"
"[213, 149, 49, 17, 5]","[54, 71, 103, 100, 105]"
"[205, 147, 37, 11, 6]","[59, 67, 85, 88, 107]"
"[200, 144, 46, 9, 3]","[56, 73, 99, 87, 87]"
"[93, 97, 88, 85, 76]","[97, 81, 80, 93, 88]"
"[4, 105, 196, 87, 13]","[95, 88, 59, 72, 91]"
"[211, 151, 31, 5, 2]","[40, 66, 92, 107, 95]"
"[82, 92, 78, 96, 87]","[86, 88, 79, 84, 98]"
"[14, 100, 188, 97, 12]","[96, 67, 55, 90, 103]"
"[203, 167, 40, 13, 1]","[48, 66, 92, 92, 126]"
"[10, 105, 195, 99, 13]","[97, 75, 61, 72, 117]"
"[194, 171, 45, 11, 3]","[68, 58, 80, 124, 94]"
"[10, 104, 222, 89, 8]","[115, 77, 47, 92, 102]"
"[86, 74, 74, 102, 88]","[82, 93, 86, 79, 84]"
"[12, 96, 241, 85, 8]","[115, 83, 42, 89, 113]"
"[77, 87, 102, 80, 89]","[92, 102, 76, 89, 76]"
"[198, 159, 51, 11, 3]","[48, 60, 97, 98, 119]"
"[9, 87, 201, 95, 9]","[95, 82, 59, 87, 78]"
"[94, 83, 81, 81, 81]","[82, 79, 73, 92, 94]"
"[202, 172, 38, 13, 3]","[63, 67, 87, 116, 95]"
"[95, 74, 79, 83, 82]","[88, 88, 74, 71, 92]"
"[7, 97, 203, 105, 15]","[101, 75, 50, 89, 112]"
"[89, 84, 83, 94, 77]","[74, 85, 87, 88, 93]"
"[9, 111, 202, 95, 9]","[101, 64, 54, 107, 100]"
"[67, 105, 89, 89, 75]","[92, 90, 79, 83, 81]"
"[5, 92, 212, 100, 6]","[92, 60, 55, 103, 105]"
"[206, 160, 45, 14, 3]","[56, 63, 94, 93, 122]"
"[94, 91, 81, 90, 86]","[76, 85, 100, 87, 94]"
"[200, 169, 53, 5, 8]","[59, 65, 109, 104, 98]"
"[6, 83, 218, 111, 6]","[111, 72, 48, 81, 112]"
"[17, 103, 189, 116, 10]","[102, 94, 60, 64, 115]"
"[217, 176, 39, 11, 6]","[65, 85, 99, 102, 98]"
"[84, 100, 78, 92, 80]","[81, 84, 96, 80, 93]"
"[211, 135, 47, 13, 4]","[51, 76, 90, 89, 104]"
"[7, 83, 220, 104, 9]","[113, 80, 51, 72, 107]"
"[9, 89, 197, 101, 12]","[88, 90, 45, 77, 108]"
"[95, 82, 78, 87, 70]","[85, 92, 77, 78, 80]"
"[72, 97, 85, 113, 78]","[93, 80, 96, 86, 90]"
"[78, 85, 78, 75, 87]","[79, 81, 91, 68, 84]"
"[13, 96, 173, 113, 12]","[89, 92, 46, 82, 98]"
"[86, 89, 96, 80, 91]","[71, 88, 105, 82, 96]"
"[215, 162, 38, 8, 3]","[66, 58, 97, 119, 86]"
"[8, 79, 215, 95, 7]","[96, 77, 48, 88, 95]"
"[192, 185, 40, 9, 4]","[56, 62, 102, 115, 95]"
"[202, 157, 47, 8, 2]","[52, 59, 89, 103, 113]"
"[14, 95, 191, 97, 12]","[88, 85, 63, 76, 97]"
"[204, 180, 44, 10, 2]","[62, 69, 94, 105, 110]"
"[94, 83, 78, 102, 90]","[93, 83, 91, 85, 95]"
"[237, 141, 27, 13, 3]","[47, 71, 100, 89, 114]"
"[81, 91, 66, 88, 74]","[84, 87, 77, 83, 69]"
"[78, 82, 81, 87, 82]","[84, 70, 95, 79, 82]"
"[212, 162, 38, 8, 1]","[42, 66, 98, 102, 113]"
"[14, 96, 228, 101, 8]","[114, 95, 55, 76, 107]"
"[224, 164, 38, 13, 1]","[58, 60, 99, 112, 111]"
"[92, 76, 72, 85, 80]","[75, 78, 77, 87, 88]"
"[84, 113, 86, 89, 69]","[104, 79, 89, 89, 80]"
"[8, 112, 219, 95, 5]","[112, 78, 59, 72, 118]"
"[87, 91, 92, 80, 88]","[95, 77, 85, 90, 91]"
"[93, 92, 90, 79, 84]","[71, 92, 81, 101, 93]"
"[215, 150, 57, 11, 4]","[64, 70, 77, 100, 126]"
"[80, 101, 82, 74, 74]","[81, 74, 75, 86, 95]"
"[195, 178, 47, 5, 4]","[65, 64, 94, 114, 92]"
"[81, 84, 103, 82, 91]","[99, 93, 79, 91, 79]"
"[94, 86, 98, 68, 79]","[81, 85, 76, 97, 86]"
"[7, 94, 217, 113, 12]","[102, 94, 48, 93, 106]"
"[15, 111, 194, 81, 11]","[104, 85, 50, 89, 84]"
"[208, 157, 45, 9, 5]","[55, 78, 104, 97, 90]"
"[17, 97, 208, 108, 11]","[101, 81, 56, 84, 119]"
"[5, 115, 218, 95, 14]","[117, 90, 50, 87, 103]"
"[95, 92, 80, 80, 69]","[79, 67, 97, 72, 101]"
"[6, 108, 199, 98, 12]","[88, 78, 62, 86, 109]"
"[201, 168, 37, 9, 1]","[55, 65, 95, 120, 81]"
"[7, 113, 225, 98, 5]","[109, 73, 68, 86, 112]"
"[14, 98, 196, 86, 10]","[95, 71, 49, 88, 101]"
"[218, 163, 43, 9, 8]","[70, 70, 92, 103, 106]"
"[14, 86, 190, 112, 10]","[97, 81, 75, 71, 88]"
"[208, 144, 40, 17, 5]","[41, 79, 85, 98, 111]"
"[183, 152, 49, 15, 11]","[68, 62, 81, 90, 109]"
"[78, 85, 75, 90, 86]","[88, 94, 65, 82, 85]"
"[191, 170, 37, 13, 3]","[51, 71, 109, 83, 100]"
"[15, 101, 195, 108, 16]","[112, 84, 58, 90, 91]"
"[204, 181, 42, 10, 6]","[48, 75, 111, 121, 88]"
"[12, 104, 203, 107, 15]","[127, 74, 63, 84, 93]"
"[8, 84, 199, 101, 8]","[96, 88, 47, 66, 103]"
"[98, 79, 78, 86, 95]","[78, 97, 86, 91, 84]"
"[232, 140, 46, 6, 2]","[58, 52, 99, 117, 100]"
"[14, 95, 214, 107, 10]","[104, 98, 45, 75, 118]"
"[191, 164, 32, 9, 4]","[55, 51, 100, 91, 103]"
"[194, 159, 28, 17, 3]","[47, 56, 84, 110, 104]"
"[12, 94, 201, 88, 9]","[96, 88, 46, 83, 91]"
"[212, 157, 46, 16, 7]","[58, 71, 96, 110, 103]"
"[197, 144, 46, 16, 4]","[52, 63, 104, 88, 100]"
"[195, 169, 40, 10, 2]","[57, 63, 91, 111, 94]"
"[7, 98, 220, 98, 8]","[98, 87, 47, 101, 98]"
"[91, 89, 91, 95, 77]","[86, 87, 77, 90, 103]"
"[81, 94, 87, 73, 89]","[84, 89, 83, 78, 90]"
"[70, 99, 81, 81, 71]","[89, 69, 71, 79, 94]"
"[199, 174, 45, 10, 2]","[50, 69, 98, 126, 87]"
"[216, 172, 43, 10, 3]","[54, 69, 108, 111, 102]"
"[206, 170, 49, 15, 3]","[75, 65, 86, 104, 113]"
"[97, 72, 95, 90, 93]","[98, 93, 75, 91, 90]"
"[229, 145, 41, 10, 5]","[48, 73, 104, 108, 97]"
"[201, 160, 50, 6, 8]","[47, 61, 98, 110, 109]"
"[97, 75, 77, 77, 89]","[83, 76, 89, 81, 86]"
"[217, 161, 33, 15, 7]","[58, 57, 108, 95, 115]"
"[13, 102, 198, 96, 10]","[107, 93, 52, 77, 90]"
"[230, 151, 45, 6, 5]","[40, 80, 97, 101, 119]"
"[15, 110, 219, 94, 8]","[122, 77, 53, 80, 114]"
"[5, 97, 233, 97, 11]","[126, 79, 43, 91, 104]"
"[105, 75, 84, 82, 85]","[81, 82, 88, 95, 85]"
"[202, 169, 66, 11, 2]","[65, 73, 103, 100, 109]"
"[7, 94, 218, 97, 10]","[112, 81, 55, 86, 92]"
"[221, 145, 56, 12, 6]","[52, 72, 96, 111, 109]"
"[222, 158, 38, 11, 9]","[58, 62, 104, 111, 103]"
"[83, 85, 69, 91, 88]","[87, 83, 93, 75, 78]"
"[206, 159, 48, 12, 5]","[55, 66, 95, 94, 120]"
"[79, 93, 79, 76, 77]","[91, 71, 90, 64, 88]"
"[9, 98, 216, 91, 10]","[99, 78, 64, 78, 105]"
"[11, 111, 209, 99, 11]","[117, 73, 63, 93, 95]"
"[96, 93, 82, 94, 79]","[90, 79, 91, 96, 88]"
"[81, 92, 72, 86, 77]","[87, 77, 99, 68, 77]"
"[72, 81, 73, 90, 103]","[99, 93, 77, 80, 70]"
"[94, 98, 82, 88, 69]","[95, 83, 82, 87, 84]"
"[97, 84, 77, 86, 87]","[71, 97, 92, 72, 99]"
"[225, 153, 33, 4, 6]","[49, 61, 94, 113, 104]"
"[205, 167, 33, 6, 3]","[58, 65, 91, 91, 109]"
"[87, 85, 113, 97, 62]","[93, 97, 77, 87, 90]"
"[8, 88, 233, 94, 8]","[105, 93, 32, 86, 115]"
"[220, 151, 38, 12, 4]","[65, 66, 97, 106, 91]"
"[216, 162, 42, 8, 3]","[55, 74, 93, 108, 101]"
"[88, 88, 77, 88, 75]","[76, 75, 82, 79, 104]"
"[87, 72, 97, 90, 77]","[86, 88, 89, 78, 82]"
"[85, 83, 92, 85, 87]","[90, 91, 75, 99, 77]"
"[10, 82, 248, 83, 6]","[97, 94, 39, 84, 115]"
"[79, 81, 90, 86, 78]","[80, 90, 77, 77, 90]"
"[12, 102, 229, 87, 6]","[124, 76, 50, 81, 105]"
"[10, 95, 221, 80, 10]","[119, 65, 47, 76, 109]"
"[8, 94, 195, 101, 2]","[107, 73, 44, 77, 99]"
"[191, 175, 50, 12, 1]","[44, 78, 103, 108, 96]"
"[79, 87, 93, 64, 88]","[75, 85, 83, 83, 85]"
