tgt,src
"[9, 89, 214, 93, 6]","[89, 81, 49, 83, 109]"
"[185, 163, 42, 15, 3]","[52, 64, 91, 106, 95]"
"[12, 94, 232, 99, 6]","[93, 81, 50, 108, 111]"
"[9, 92, 184, 102, 13]","[91, 62, 60, 82, 105]"
"[11, 109, 200, 109, 11]","[103, 97, 54, 76, 110]"
"[7, 82, 214, 94, 15]","[112, 79, 55, 85, 81]"
"[203, 179, 48, 10, 0]","[62, 78, 107, 75, 118]"
"[8, 90, 236, 89, 8]","[95, 79, 50, 85, 122]"
"[220, 162, 51, 9, 5]","[49, 73, 102, 102, 121]"
"[86, 91, 69, 86, 82]","[91, 86, 86, 67, 84]"
"[84, 81, 85, 90, 90]","[91, 90, 80, 83, 86]"
"[10, 115, 221, 92, 10]","[120, 87, 55, 87, 99]"
"[206, 183, 36, 18, 6]","[54, 64, 95, 132, 104]"
"[6, 88, 218, 96, 4]","[116, 82, 46, 77, 91]"
"[11, 89, 242, 101, 5]","[109, 84, 58, 83, 114]"
"[79, 88, 90, 61, 87]","[66, 70, 99, 73, 97]"
"[10, 103, 189, 92, 11]","[100, 68, 59, 76, 102]"
"[9, 102, 218, 96, 11]","[98, 87, 52, 82, 117]"
"[194, 168, 45, 12, 4]","[64, 50, 101, 113, 95]"
"[183, 166, 42, 13, 4]","[51, 73, 81, 90, 113]"
"[206, 178, 38, 15, 6]","[44, 71, 107, 110, 111]"
"[10, 90, 219, 108, 7]","[97, 93, 57, 67, 120]"
"[221, 165, 39, 10, 0]","[46, 73, 100, 105, 111]"
"[86, 93, 94, 83, 91]","[97, 85, 81, 98, 86]"
"[11, 114, 207, 104, 6]","[113, 90, 50, 90, 99]"
"[90, 82, 94, 79, 92]","[85, 89, 80, 91, 92]"
"[16, 105, 199, 97, 8]","[106, 77, 47, 82, 113]"
"[5, 94, 240, 76, 9]","[115, 76, 44, 85, 104]"
"[98, 70, 87, 80, 87]","[88, 88, 85, 71, 90]"
"[82, 84, 95, 86, 87]","[88, 83, 100, 70, 93]"
"[11, 94, 187, 102, 14]","[107, 91, 43, 72, 95]"
"[13, 100, 185, 93, 10]","[107, 80, 51, 68, 95]"
"[196, 163, 34, 16, 2]","[58, 56, 103, 92, 102]"
"[86, 79, 98, 74, 90]","[96, 85, 73, 87, 86]"
"[5, 108, 202, 79, 11]","[104, 83, 53, 78, 87]"
"[96, 79, 95, 81, 94]","[80, 93, 90, 99, 83]"
"[215, 167, 34, 13, 4]","[56, 61, 121, 105, 90]"
"[10, 92, 217, 99, 11]","[95, 103, 53, 77, 101]"
"[83, 92, 88, 80, 79]","[90, 76, 91, 90, 75]"
"[90, 68, 87, 85, 87]","[90, 81, 77, 84, 85]"
"[214, 146, 41, 12, 1]","[45, 72, 94, 92, 111]"
"[79, 80, 88, 82, 99]","[74, 99, 87, 75, 93]"
"[5, 88, 207, 92, 12]","[114, 78, 40, 71, 101]"
"[91, 89, 74, 68, 88]","[89, 77, 73, 86, 85]"
"[57, 86, 101, 81, 83]","[94, 70, 81, 90, 73]"
"[219, 148, 40, 8, 5]","[64, 57, 89, 105, 105]"
"[182, 166, 45, 7, 8]","[50, 60, 93, 83, 122]"
"[216, 151, 34, 11, 6]","[52, 79, 94, 94, 99]"
"[81, 89, 84, 84, 69]","[80, 82, 74, 92, 79]"
"[98, 92, 86, 89, 85]","[87, 110, 78, 90, 85]"
"[4, 102, 214, 101, 16]","[108, 87, 50, 82, 110]"
"[191, 179, 44, 6, 5]","[47, 66, 98, 103, 111]"
"[77, 92, 96, 95, 87]","[87, 87, 93, 82, 98]"
"[8, 110, 190, 101, 13]","[92, 79, 69, 78, 104]"
"[9, 114, 187, 89, 8]","[94, 79, 60, 77, 97]"
"[197, 171, 40, 11, 1]","[57, 57, 113, 93, 100]"
"[219, 174, 35, 13, 7]","[59, 79, 105, 99, 106]"
"[10, 89, 221, 102, 11]","[106, 80, 53, 82, 112]"
"[209, 142, 46, 16, 1]","[60, 74, 89, 90, 101]"
"[186, 169, 41, 18, 6]","[62, 54, 98, 95, 111]"
"[214, 168, 50, 14, 4]","[56, 69, 107, 107, 111]"
"[10, 81, 197, 109, 10]","[114, 73, 50, 83, 87]"
"[8, 116, 216, 100, 6]","[108, 79, 68, 82, 109]"
"[89, 81, 85, 75, 78]","[94, 73, 75, 85, 81]"
"[91, 83, 78, 77, 76]","[83, 73, 79, 87, 83]"
"[92, 73, 92, 80, 85]","[88, 80, 77, 74, 103]"
"[105, 75, 78, 85, 78]","[80, 86, 78, 86, 91]"
"[96, 95, 75, 74, 107]","[83, 96, 86, 94, 88]"
"[93, 73, 70, 85, 85]","[71, 76, 76, 99, 84]"
"[180, 164, 45, 10, 1]","[45, 70, 93, 89, 103]"
"[85, 69, 86, 79, 92]","[83, 96, 62, 87, 83]"
"[80, 97, 70, 85, 90]","[92, 81, 97, 76, 76]"
"[88, 93, 88, 89, 87]","[76, 95, 109, 84, 81]"
"[105, 85, 88, 85, 78]","[91, 92, 90, 80, 88]"
"[8, 89, 203, 96, 5]","[109, 75, 53, 69, 95]"
"[8, 106, 201, 109, 16]","[127, 85, 58, 71, 99]"
"[203, 145, 39, 17, 5]","[36, 70, 92, 95, 116]"
"[96, 97, 97, 71, 77]","[82, 84, 95, 98, 79]"
"[214, 156, 36, 11, 1]","[60, 78, 82, 98, 100]"
"[7, 94, 216, 89, 6]","[98, 79, 69, 72, 94]"
"[10, 88, 215, 87, 9]","[108, 79, 45, 87, 90]"
"[16, 98, 205, 103, 11]","[113, 75, 57, 75, 113]"
"[6, 98, 222, 103, 15]","[114, 84, 64, 82, 100]"
"[240, 141, 41, 13, 6]","[61, 75, 93, 108, 104]"
"[15, 88, 190, 104, 12]","[99, 89, 47, 81, 93]"
"[8, 113, 213, 94, 5]","[97, 86, 49, 89, 112]"
"[222, 171, 36, 5, 6]","[54, 62, 102, 103, 119]"
"[95, 93, 76, 95, 80]","[83, 103, 76, 85, 92]"
"[9, 98, 201, 107, 11]","[101, 91, 55, 67, 112]"
"[182, 159, 40, 20, 4]","[52, 55, 95, 93, 110]"
"[13, 120, 201, 101, 8]","[117, 78, 65, 70, 113]"
"[13, 102, 202, 115, 17]","[79, 103, 71, 80, 116]"
"[11, 109, 191, 93, 6]","[116, 68, 58, 79, 89]"
"[86, 81, 81, 71, 88]","[87, 93, 85, 66, 76]"
"[195, 171, 39, 7, 4]","[63, 75, 79, 98, 101]"
"[10, 102, 207, 91, 4]","[85, 82, 49, 90, 108]"
"[223, 154, 35, 9, 2]","[55, 79, 88, 112, 89]"
"[5, 106, 212, 100, 11]","[115, 92, 50, 77, 100]"
"[76, 101, 92, 85, 81]","[87, 78, 85, 88, 97]"
"[8, 103, 200, 86, 9]","[97, 80, 50, 69, 110]"
"[9, 108, 217, 87, 16]","[112, 82, 60, 79, 104]"
"[74, 102, 76, 104, 74]","[71, 90, 80, 86, 103]"
"[189, 167, 50, 5, 3]","[57, 61, 90, 108, 98]"
"[12, 116, 170, 107, 14]","[93, 77, 61, 89, 99]"
"[201, 177, 43, 25, 4]","[58, 57, 102, 115, 118]"
"[11, 112, 203, 107, 10]","[112, 74, 56, 90, 111]"
"[209, 171, 46, 10, 1]","[51, 75, 105, 100, 106]"
"[12, 92, 204, 95, 13]","[107, 74, 53, 80, 102]"
"[206, 145, 35, 12, 4]","[53, 67, 88, 104, 90]"
"[89, 87, 80, 78, 78]","[76, 89, 76, 84, 87]"
"[192, 164, 38, 8, 4]","[60, 55, 82, 98, 111]"
"[95, 83, 106, 76, 80]","[81, 89, 89, 107, 74]"
"[91, 82, 89, 66, 78]","[89, 90, 75, 75, 77]"
"[3, 98, 227, 82, 2]","[98, 77, 51, 77, 109]"
"[11, 104, 213, 103, 12]","[107, 65, 62, 100, 109]"
"[87, 76, 91, 78, 82]","[71, 85, 91, 83, 84]"
"[91, 96, 88, 76, 74]","[85, 83, 73, 96, 88]"
"[16, 103, 176, 101, 12]","[103, 83, 50, 80, 92]"
"[213, 142, 31, 16, 6]","[42, 68, 96, 107, 95]"
"[12, 103, 204, 81, 8]","[82, 72, 56, 94, 104]"
"[11, 91, 198, 94, 11]","[97, 74, 45, 96, 93]"
"[205, 173, 37, 17, 2]","[54, 62, 107, 106, 105]"
"[9, 93, 225, 110, 9]","[109, 101, 60, 84, 92]"
"[219, 168, 50, 1, 6]","[62, 77, 101, 108, 96]"
"[234, 152, 50, 8, 5]","[56, 68, 97, 123, 105]"
"[226, 162, 43, 10, 3]","[56, 73, 97, 111, 107]"
"[90, 87, 87, 66, 103]","[83, 81, 93, 95, 81]"
"[193, 170, 46, 10, 2]","[57, 53, 100, 101, 110]"
"[99, 87, 91, 82, 68]","[83, 86, 78, 75, 105]"
"[7, 92, 195, 108, 8]","[116, 84, 52, 61, 97]"
"[11, 105, 206, 82, 2]","[102, 70, 63, 84, 87]"
"[8, 99, 184, 102, 13]","[90, 82, 63, 84, 87]"
"[7, 93, 213, 87, 9]","[103, 69, 61, 69, 107]"
"[13, 94, 227, 103, 7]","[115, 75, 57, 85, 112]"
"[12, 108, 208, 112, 9]","[107, 96, 56, 80, 110]"
"[215, 135, 34, 14, 3]","[57, 65, 84, 94, 101]"
"[208, 150, 34, 20, 2]","[53, 69, 79, 103, 110]"
"[5, 87, 214, 90, 12]","[97, 75, 55, 77, 104]"
"[6, 100, 211, 99, 9]","[109, 81, 49, 96, 90]"
"[5, 93, 216, 104, 8]","[116, 81, 57, 83, 89]"
"[84, 88, 86, 80, 89]","[93, 83, 74, 93, 84]"
"[10, 107, 221, 96, 8]","[96, 89, 57, 89, 111]"
"[95, 68, 92, 100, 90]","[85, 96, 87, 88, 89]"
"[8, 107, 200, 99, 8]","[96, 65, 63, 74, 124]"
"[8, 105, 207, 96, 10]","[103, 89, 58, 81, 95]"
"[12, 106, 212, 80, 10]","[98, 81, 50, 80, 111]"
"[80, 84, 96, 76, 90]","[72, 91, 68, 102, 93]"
"[87, 87, 97, 83, 87]","[84, 103, 78, 86, 90]"
"[97, 77, 76, 92, 103]","[82, 99, 88, 99, 77]"
"[13, 112, 210, 97, 15]","[113, 104, 52, 79, 99]"
"[209, 156, 38, 13, 2]","[52, 73, 90, 105, 98]"
"[76, 80, 78, 95, 88]","[81, 95, 80, 77, 84]"
"[208, 165, 44, 5, 3]","[53, 69, 97, 102, 104]"
"[9, 102, 223, 98, 7]","[119, 74, 52, 79, 115]"
"[221, 154, 40, 8, 3]","[53, 58, 93, 109, 113]"
"[79, 88, 92, 80, 89]","[96, 70, 90, 86, 86]"
"[207, 157, 46, 10, 2]","[48, 53, 82, 113, 126]"
"[72, 118, 76, 85, 95]","[106, 87, 97, 78, 78]"
"[80, 87, 89, 80, 68]","[76, 71, 88, 91, 78]"
"[14, 110, 211, 92, 9]","[115, 82, 49, 90, 100]"
"[17, 99, 197, 122, 13]","[119, 90, 59, 79, 101]"
"[80, 69, 88, 87, 78]","[78, 92, 83, 70, 79]"
"[191, 149, 42, 13, 8]","[58, 61, 78, 108, 98]"
"[211, 161, 40, 15, 5]","[49, 69, 87, 124, 103]"
"[192, 157, 46, 25, 8]","[57, 76, 88, 108, 99]"
"[198, 161, 57, 9, 6]","[60, 56, 91, 114, 110]"
"[84, 83, 89, 88, 104]","[88, 93, 100, 81, 86]"
"[77, 88, 90, 74, 101]","[95, 76, 92, 84, 83]"
"[88, 97, 97, 84, 76]","[88, 77, 96, 92, 89]"
"[105, 82, 84, 81, 93]","[95, 92, 80, 87, 91]"
"[197, 162, 28, 11, 5]","[56, 62, 92, 91, 102]"
"[11, 106, 189, 111, 9]","[122, 71, 63, 69, 101]"
"[79, 74, 85, 84, 86]","[92, 83, 84, 78, 71]"
"[197, 155, 42, 12, 8]","[59, 67, 91, 102, 95]"
"[13, 105, 213, 111, 8]","[110, 78, 59, 79, 124]"
"[12, 95, 207, 82, 5]","[107, 75, 39, 77, 103]"
"[6, 99, 198, 105, 15]","[107, 77, 67, 87, 85]"
"[7, 80, 232, 93, 6]","[97, 78, 46, 82, 115]"
"[11, 93, 213, 116, 14]","[107, 91, 50, 83, 116]"
"[5, 115, 216, 110, 3]","[121, 88, 59, 74, 107]"
"[225, 158, 43, 13, 4]","[47, 66, 110, 116, 104]"
"[229, 164, 33, 7, 9]","[51, 63, 123, 96, 109]"
"[76, 86, 75, 90, 84]","[88, 84, 92, 88, 59]"
"[208, 144, 44, 9, 0]","[42, 56, 98, 104, 105]"
"[2, 117, 228, 86, 11]","[103, 90, 64, 90, 97]"
"[15, 93, 196, 104, 12]","[99, 79, 52, 79, 111]"
"[10, 112, 219, 97, 5]","[103, 75, 58, 99, 108]"
"[210, 179, 34, 9, 1]","[45, 68, 102, 115, 103]"
"[81, 92, 77, 92, 87]","[80, 84, 94, 89, 82]"
"[8, 97, 204, 87, 12]","[100, 65, 52, 89, 102]"
"[14, 97, 196, 89, 9]","[97, 72, 55, 87, 94]"
"[86, 90, 80, 97, 83]","[79, 96, 77, 96, 88]"
"[15, 103, 214, 102, 6]","[117, 86, 52, 83, 102]"
"[13, 104, 217, 98, 10]","[103, 89, 53, 91, 106]"
"[217, 166, 40, 5, 3]","[59, 65, 97, 98, 112]"
"[71, 81, 90, 72, 88]","[84, 82, 67, 86, 83]"
"[7, 97, 197, 113, 10]","[125, 68, 56, 65, 110]"
"[74, 65, 89, 83, 97]","[88, 92, 81, 69, 78]"
"[15, 90, 203, 113, 11]","[115, 81, 46, 82, 108]"
"[70, 87, 85, 83, 80]","[92, 72, 83, 75, 83]"
"[192, 173, 40, 7, 3]","[67, 57, 85, 109, 97]"
"[8, 103, 203, 95, 16]","[92, 90, 53, 85, 105]"
"[79, 63, 88, 85, 85]","[75, 95, 79, 71, 80]"
"[203, 164, 32, 13, 6]","[58, 67, 100, 98, 95]"
"[84, 93, 81, 81, 68]","[70, 83, 77, 91, 86]"
"[204, 163, 44, 9, 4]","[56, 73, 96, 104, 95]"
"[11, 88, 210, 104, 9]","[95, 81, 47, 86, 113]"
"[10, 107, 223, 86, 18]","[116, 84, 51, 87, 106]"
"[73, 93, 77, 84, 84]","[93, 81, 74, 75, 88]"
"[74, 75, 92, 82, 109]","[100, 94, 72, 86, 80]"
"[8, 89, 199, 118, 12]","[105, 83, 66, 72, 100]"
"[12, 97, 207, 90, 8]","[96, 84, 50, 81, 103]"
"[213, 163, 47, 14, 3]","[51, 61, 100, 117, 111]"
"[94, 97, 96, 66, 93]","[87, 106, 86, 78, 89]"
"[9, 102, 208, 97, 8]","[93, 79, 38, 97, 117]"
"[191, 170, 39, 13, 4]","[44, 59, 98, 104, 112]"
"[218, 168, 41, 12, 8]","[47, 77, 112, 110, 101]"
"[227, 135, 34, 9, 3]","[47, 75, 86, 104, 96]"
"[83, 73, 96, 96, 99]","[93, 92, 93, 82, 87]"
"[12, 88, 218, 114, 11]","[98, 103, 58, 71, 113]"
"[217, 134, 41, 7, 7]","[42, 57, 99, 103, 105]"
"[6, 98, 215, 88, 7]","[111, 77, 50, 80, 96]"
"[9, 84, 218, 88, 7]","[104, 80, 48, 70, 104]"
"[8, 92, 245, 85, 7]","[87, 102, 41, 100, 107]"
"[83, 95, 92, 88, 83]","[103, 81, 77, 97, 83]"
"[91, 67, 90, 75, 77]","[73, 93, 83, 82, 69]"
"[84, 89, 102, 64, 64]","[75, 67, 94, 83, 84]"
"[4, 101, 236, 98, 11]","[113, 88, 61, 80, 108]"
"[200, 161, 46, 7, 2]","[55, 67, 95, 100, 99]"
"[205, 166, 43, 7, 3]","[56, 73, 98, 103, 94]"
"[8, 97, 220, 89, 4]","[105, 79, 45, 86, 103]"
"[79, 98, 83, 94, 92]","[90, 94, 94, 79, 89]"
"[7, 95, 219, 84, 8]","[101, 78, 53, 89, 92]"
"[11, 87, 242, 91, 5]","[99, 106, 48, 79, 104]"
"[10, 84, 227, 115, 13]","[108, 92, 60, 102, 87]"
"[85, 70, 91, 66, 95]","[79, 70, 71, 94, 93]"
"[219, 159, 44, 8, 2]","[57, 64, 98, 99, 114]"
"[235, 146, 51, 14, 3]","[51, 87, 101, 101, 109]"
"[8, 86, 204, 101, 6]","[117, 71, 55, 75, 87]"
"[13, 110, 203, 101, 23]","[116, 85, 65, 76, 108]"
"[5, 105, 221, 107, 4]","[105, 73, 59, 90, 115]"
"[9, 88, 202, 92, 14]","[98, 81, 44, 73, 109]"
"[6, 83, 228, 79, 4]","[90, 80, 33, 95, 102]"
"[10, 107, 197, 99, 9]","[96, 93, 62, 79, 92]"
"[17, 80, 180, 117, 6]","[103, 82, 61, 55, 99]"
"[7, 92, 202, 107, 10]","[106, 86, 55, 76, 95]"
"[12, 109, 199, 101, 11]","[100, 74, 66, 82, 110]"
"[217, 160, 51, 13, 5]","[55, 72, 91, 107, 121]"
"[8, 98, 216, 102, 12]","[98, 79, 55, 106, 98]"
"[14, 90, 202, 89, 7]","[104, 79, 41, 76, 102]"
"[200, 152, 39, 14, 3]","[49, 70, 88, 98, 103]"
"[81, 82, 89, 102, 72]","[80, 107, 80, 78, 81]"
"[4, 89, 207, 104, 5]","[91, 77, 53, 87, 101]"
"[2, 108, 231, 95, 11]","[105, 87, 56, 97, 102]"
"[218, 159, 51, 8, 1]","[63, 62, 102, 103, 107]"
"[8, 95, 230, 101, 6]","[103, 98, 38, 87, 114]"
"[242, 151, 39, 14, 3]","[56, 73, 86, 108, 126]"
"[18, 99, 215, 101, 11]","[104, 79, 57, 97, 107]"
"[217, 155, 37, 10, 3]","[48, 63, 124, 92, 95]"
"[207, 157, 45, 18, 4]","[51, 79, 93, 99, 109]"
"[201, 157, 56, 13, 3]","[56, 59, 93, 114, 108]"
"[201, 170, 36, 16, 6]","[57, 73, 105, 95, 99]"
"[86, 89, 87, 91, 75]","[96, 84, 94, 78, 76]"
"[8, 106, 202, 105, 12]","[136, 70, 53, 75, 99]"
"[180, 161, 42, 17, 5]","[54, 62, 83, 100, 106]"
"[217, 184, 31, 11, 4]","[65, 58, 103, 109, 112]"
"[83, 92, 81, 88, 84]","[87, 81, 94, 75, 91]"
"[8, 84, 216, 119, 12]","[120, 66, 59, 84, 110]"
"[6, 95, 225, 103, 9]","[112, 81, 62, 73, 110]"
"[11, 104, 207, 85, 5]","[101, 81, 41, 89, 100]"
"[84, 84, 81, 87, 91]","[87, 82, 83, 95, 80]"
"[214, 163, 49, 8, 4]","[59, 77, 87, 102, 113]"
"[6, 112, 219, 99, 11]","[100, 77, 63, 90, 117]"
"[13, 97, 189, 80, 21]","[98, 68, 52, 92, 90]"
"[10, 114, 208, 103, 13]","[109, 89, 60, 81, 109]"
"[93, 92, 75, 94, 94]","[78, 92, 103, 94, 81]"
"[7, 110, 218, 94, 6]","[105, 85, 64, 85, 96]"
"[204, 168, 40, 12, 1]","[50, 62, 83, 117, 113]"
"[15, 94, 184, 102, 14]","[100, 84, 55, 63, 107]"
"[9, 100, 221, 99, 11]","[111, 86, 52, 88, 103]"
"[202, 190, 35, 14, 5]","[73, 56, 102, 111, 104]"
"[80, 82, 79, 86, 89]","[68, 84, 82, 97, 85]"
"[13, 98, 199, 90, 8]","[111, 77, 50, 70, 100]"
"[71, 75, 91, 91, 86]","[90, 89, 84, 73, 78]"
"[7, 102, 216, 93, 10]","[114, 88, 58, 70, 98]"
"[212, 157, 36, 16, 1]","[52, 50, 104, 108, 108]"
"[210, 147, 45, 9, 2]","[56, 73, 84, 99, 101]"
"[210, 165, 38, 8, 3]","[65, 61, 104, 108, 86]"
"[14, 84, 210, 114, 11]","[102, 84, 47, 96, 104]"
"[11, 97, 213, 82, 13]","[96, 89, 54, 81, 96]"
"[17, 112, 199, 97, 7]","[111, 81, 54, 83, 103]"
"[13, 95, 217, 85, 10]","[98, 90, 47, 83, 102]"
"[83, 92, 90, 79, 87]","[86, 77, 92, 94, 82]"
"[75, 98, 89, 83, 97]","[80, 76, 93, 90, 103]"
"[201, 165, 37, 11, 2]","[56, 70, 95, 92, 103]"
"[84, 85, 72, 79, 81]","[82, 70, 80, 92, 77]"
"[12, 109, 208, 103, 14]","[119, 80, 70, 83, 94]"
"[8, 106, 217, 91, 10]","[107, 92, 58, 76, 99]"
"[8, 101, 199, 93, 9]","[107, 75, 45, 90, 93]"
"[87, 87, 82, 88, 90]","[85, 76, 95, 85, 93]"
"[93, 80, 74, 93, 90]","[82, 77, 99, 81, 91]"
"[10, 103, 197, 106, 12]","[98, 78, 59, 85, 108]"
"[17, 100, 193, 111, 4]","[98, 87, 50, 84, 106]"
"[72, 77, 97, 85, 81]","[80, 97, 91, 61, 83]"
"[8, 104, 205, 99, 9]","[96, 92, 65, 80, 92]"
"[77, 89, 91, 90, 90]","[89, 83, 95, 83, 87]"
"[86, 78, 89, 76, 97]","[94, 83, 82, 79, 88]"
"[15, 106, 210, 85, 15]","[102, 93, 58, 84, 94]"
"[11, 98, 206, 116, 10]","[116, 75, 65, 74, 111]"
"[209, 179, 29, 13, 0]","[44, 76, 83, 115, 112]"
"[224, 159, 45, 9, 3]","[50, 59, 112, 123, 96]"
"[204, 164, 43, 10, 7]","[63, 54, 105, 85, 121]"
