tgt,src
"[213, 165, 37, 18, 5]","[58, 68, 117, 100, 95]"
"[72, 83, 84, 85, 76]","[91, 61, 90, 78, 80]"
"[192, 154, 51, 16, 4]","[56, 58, 99, 109, 95]"
"[12, 93, 200, 89, 6]","[93, 80, 52, 75, 100]"
"[6, 93, 219, 100, 10]","[104, 81, 57, 91, 95]"
"[80, 88, 76, 80, 94]","[90, 83, 80, 86, 79]"
"[3, 92, 215, 106, 6]","[118, 70, 53, 85, 96]"
"[87, 105, 86, 86, 83]","[75, 85, 90, 89, 108]"
"[208, 140, 47, 15, 3]","[49, 62, 97, 91, 114]"
"[203, 162, 42, 10, 3]","[52, 60, 105, 104, 99]"
"[90, 75, 89, 79, 72]","[74, 83, 73, 84, 91]"
"[75, 94, 82, 79, 92]","[94, 85, 74, 91, 78]"
"[89, 78, 90, 81, 92]","[84, 86, 81, 90, 89]"
"[12, 96, 203, 91, 9]","[99, 81, 50, 82, 99]"
"[219, 176, 33, 8, 4]","[58, 65, 103, 99, 115]"
"[74, 87, 91, 78, 75]","[87, 84, 82, 78, 74]"
"[85, 88, 87, 95, 91]","[88, 92, 94, 87, 85]"
"[10, 89, 211, 118, 9]","[93, 95, 59, 76, 114]"
"[200, 155, 44, 15, 5]","[53, 60, 101, 101, 104]"
"[221, 141, 39, 10, 2]","[59, 75, 91, 105, 83]"
"[201, 158, 29, 15, 0]","[54, 58, 108, 83, 100]"
"[18, 108, 199, 103, 10]","[98, 88, 59, 86, 107]"
"[93, 80, 81, 84, 72]","[93, 81, 78, 70, 88]"
"[6, 111, 231, 97, 4]","[101, 89, 71, 82, 106]"
"[105, 74, 81, 63, 89]","[85, 85, 77, 82, 83]"
"[193, 146, 43, 19, 7]","[55, 50, 105, 107, 91]"
"[80, 83, 87, 66, 87]","[81, 66, 85, 91, 80]"
"[106, 73, 104, 83, 80]","[80, 93, 69, 106, 98]"
"[12, 109, 179, 101, 17]","[101, 77, 62, 78, 100]"
"[213, 156, 43, 7, 4]","[56, 73, 101, 96, 97]"
"[224, 168, 45, 7, 2]","[53, 63, 105, 112, 113]"
"[183, 162, 40, 11, 5]","[48, 72, 103, 94, 84]"
"[81, 94, 85, 100, 80]","[99, 75, 86, 94, 86]"
"[10, 98, 224, 96, 7]","[115, 83, 44, 88, 105]"
"[183, 156, 52, 7, 4]","[49, 48, 93, 108, 104]"
"[207, 144, 46, 7, 7]","[49, 72, 82, 105, 103]"
"[201, 156, 46, 8, 4]","[44, 66, 91, 110, 104]"
"[209, 168, 37, 16, 5]","[61, 76, 90, 92, 116]"
"[233, 164, 32, 7, 5]","[54, 66, 98, 122, 101]"
"[10, 107, 208, 97, 8]","[104, 77, 47, 88, 114]"
"[76, 83, 70, 80, 94]","[77, 85, 78, 79, 84]"
"[203, 161, 35, 14, 8]","[56, 74, 102, 94, 95]"
"[17, 96, 222, 101, 7]","[129, 90, 43, 73, 108]"
"[12, 94, 229, 100, 12]","[120, 83, 49, 86, 109]"
"[6, 111, 199, 89, 6]","[105, 75, 53, 80, 98]"
"[100, 75, 79, 79, 83]","[77, 90, 74, 75, 100]"
"[97, 86, 78, 100, 81]","[73, 94, 90, 82, 103]"
"[201, 156, 38, 9, 8]","[46, 70, 101, 92, 103]"
"[79, 94, 80, 88, 81]","[79, 98, 94, 76, 75]"
"[84, 85, 84, 72, 78]","[74, 84, 72, 102, 71]"
"[79, 93, 65, 90, 81]","[82, 69, 79, 75, 103]"
"[211, 154, 41, 15, 1]","[45, 67, 93, 98, 119]"
"[91, 94, 81, 91, 86]","[80, 84, 86, 106, 87]"
"[74, 93, 78, 107, 85]","[90, 87, 90, 70, 100]"
"[9, 99, 204, 108, 13]","[125, 86, 49, 63, 110]"
"[230, 160, 37, 11, 4]","[58, 64, 114, 114, 92]"
"[225, 146, 44, 8, 4]","[54, 77, 89, 110, 97]"
"[97, 72, 78, 81, 72]","[80, 85, 78, 78, 79]"
"[8, 106, 205, 89, 12]","[105, 71, 62, 77, 105]"
"[87, 71, 106, 100, 81]","[91, 82, 82, 84, 106]"
"[200, 172, 37, 10, 2]","[45, 77, 99, 103, 97]"
"[181, 173, 45, 8, 4]","[60, 56, 88, 105, 102]"
"[236, 143, 45, 8, 5]","[42, 74, 102, 102, 117]"
"[6, 96, 218, 97, 8]","[106, 78, 65, 79, 97]"
"[206, 165, 47, 15, 1]","[57, 82, 89, 105, 101]"
"[9, 101, 242, 93, 5]","[105, 87, 59, 91, 108]"
"[216, 156, 44, 11, 8]","[60, 79, 101, 98, 97]"
"[6, 93, 205, 91, 8]","[100, 60, 53, 83, 107]"
"[83, 88, 85, 79, 76]","[92, 80, 83, 73, 83]"
"[212, 133, 45, 6, 5]","[58, 69, 80, 94, 100]"
"[91, 79, 83, 80, 90]","[89, 84, 85, 81, 84]"
"[184, 178, 42, 10, 3]","[58, 70, 85, 100, 104]"
"[6, 84, 217, 103, 13]","[105, 95, 42, 76, 105]"
"[207, 149, 41, 6, 5]","[54, 60, 92, 101, 101]"
"[198, 175, 42, 7, 6]","[61, 51, 102, 109, 105]"
"[11, 98, 211, 93, 9]","[105, 90, 45, 87, 95]"
"[203, 148, 44, 16, 3]","[45, 73, 83, 119, 94]"
"[13, 90, 224, 101, 17]","[107, 80, 53, 86, 119]"
"[12, 96, 207, 104, 16]","[97, 99, 50, 92, 97]"
"[221, 144, 45, 10, 6]","[44, 74, 99, 106, 103]"
"[93, 81, 76, 87, 78]","[74, 85, 90, 75, 91]"
"[86, 87, 82, 87, 92]","[90, 98, 94, 90, 62]"
"[225, 155, 55, 11, 2]","[62, 85, 86, 101, 114]"
"[10, 91, 205, 102, 9]","[92, 82, 49, 80, 114]"
"[209, 152, 36, 13, 2]","[46, 73, 95, 99, 99]"
"[17, 100, 192, 89, 7]","[84, 77, 58, 80, 106]"
"[208, 164, 47, 12, 2]","[70, 61, 94, 105, 103]"
"[13, 112, 211, 99, 13]","[107, 85, 60, 85, 111]"
"[81, 90, 83, 87, 68]","[83, 68, 84, 80, 94]"
"[211, 172, 53, 2, 3]","[56, 62, 100, 106, 117]"
"[85, 67, 90, 89, 77]","[75, 90, 85, 79, 79]"
"[2, 91, 245, 82, 15]","[101, 89, 45, 89, 111]"
"[2, 111, 186, 99, 12]","[128, 71, 55, 73, 83]"
"[4, 101, 238, 93, 8]","[101, 89, 47, 77, 130]"
"[66, 72, 87, 86, 100]","[88, 72, 82, 84, 85]"
"[13, 110, 191, 95, 13]","[99, 77, 51, 92, 103]"
"[78, 92, 83, 80, 93]","[98, 84, 85, 74, 85]"
"[80, 72, 87, 86, 91]","[73, 96, 75, 82, 90]"
"[77, 98, 78, 87, 92]","[84, 86, 83, 90, 89]"
"[89, 87, 103, 69, 90]","[93, 89, 86, 88, 82]"
"[12, 98, 238, 93, 8]","[118, 79, 52, 89, 111]"
"[225, 161, 31, 6, 2]","[53, 66, 81, 106, 119]"
"[9, 112, 193, 90, 7]","[89, 80, 56, 74, 112]"
"[95, 87, 92, 77, 91]","[75, 82, 90, 94, 101]"
"[68, 83, 82, 95, 86]","[82, 79, 87, 86, 80]"
"[5, 91, 217, 89, 5]","[104, 76, 43, 73, 111]"
"[70, 89, 78, 91, 95]","[92, 83, 84, 85, 79]"
"[81, 94, 87, 83, 82]","[90, 74, 88, 83, 92]"
"[82, 83, 95, 77, 88]","[88, 67, 90, 95, 85]"
"[228, 149, 44, 10, 3]","[62, 60, 95, 119, 98]"
"[14, 85, 204, 87, 12]","[99, 79, 56, 67, 101]"
"[4, 103, 217, 87, 6]","[96, 76, 51, 81, 113]"
"[77, 79, 91, 74, 95]","[98, 74, 75, 85, 84]"
"[14, 104, 216, 85, 14]","[106, 81, 63, 68, 115]"
"[95, 81, 96, 70, 73]","[84, 86, 66, 95, 84]"
"[95, 77, 77, 91, 86]","[78, 87, 90, 81, 90]"
"[203, 181, 50, 9, 3]","[60, 72, 104, 96, 114]"
"[98, 84, 80, 83, 82]","[89, 72, 90, 72, 104]"
"[102, 99, 77, 91, 69]","[83, 86, 96, 69, 104]"
"[15, 87, 208, 107, 16]","[119, 66, 63, 90, 95]"
"[88, 80, 85, 88, 104]","[91, 98, 101, 67, 88]"
"[220, 160, 36, 9, 7]","[59, 67, 98, 98, 110]"
"[83, 77, 91, 91, 85]","[82, 81, 86, 94, 84]"
"[96, 96, 76, 86, 75]","[77, 85, 81, 92, 94]"
"[86, 103, 70, 88, 80]","[85, 100, 72, 84, 86]"
"[83, 76, 82, 76, 83]","[79, 81, 75, 88, 77]"
"[176, 183, 46, 15, 1]","[64, 55, 114, 94, 94]"
"[16, 104, 194, 97, 11]","[102, 81, 64, 81, 94]"
"[218, 134, 45, 10, 3]","[44, 68, 81, 118, 99]"
"[15, 97, 230, 97, 4]","[114, 84, 57, 92, 96]"
"[201, 158, 41, 6, 0]","[43, 59, 89, 109, 106]"
"[213, 146, 37, 8, 3]","[54, 68, 98, 97, 90]"
"[189, 170, 46, 12, 8]","[67, 71, 99, 101, 87]"
"[197, 158, 44, 7, 5]","[52, 61, 82, 112, 104]"
"[196, 160, 38, 8, 8]","[46, 56, 87, 111, 110]"
"[242, 162, 34, 9, 3]","[45, 67, 111, 118, 109]"
"[14, 103, 202, 103, 11]","[99, 92, 74, 80, 88]"
"[14, 101, 208, 96, 9]","[111, 81, 53, 80, 103]"
"[218, 162, 41, 8, 5]","[48, 69, 109, 112, 96]"
"[199, 150, 37, 11, 3]","[59, 69, 91, 88, 93]"
"[217, 160, 38, 7, 7]","[47, 69, 92, 104, 117]"
"[74, 89, 96, 84, 90]","[85, 96, 77, 99, 76]"
"[87, 88, 89, 85, 90]","[86, 72, 90, 108, 83]"
"[13, 112, 219, 87, 13]","[105, 82, 63, 84, 110]"
"[2, 92, 230, 92, 12]","[101, 86, 44, 97, 100]"
"[200, 151, 35, 12, 6]","[60, 75, 92, 84, 93]"
"[93, 89, 73, 85, 85]","[94, 82, 99, 80, 70]"
"[223, 147, 41, 8, 0]","[40, 68, 94, 99, 118]"
"[195, 150, 45, 10, 4]","[45, 66, 93, 105, 95]"
"[202, 161, 48, 10, 9]","[52, 81, 98, 108, 91]"
"[201, 170, 43, 15, 4]","[59, 77, 94, 95, 108]"
"[7, 98, 206, 95, 6]","[115, 77, 56, 74, 90]"
"[219, 166, 47, 10, 2]","[63, 74, 103, 94, 110]"
"[85, 86, 73, 83, 87]","[83, 70, 88, 97, 76]"
"[224, 139, 49, 11, 4]","[45, 55, 91, 115, 121]"
"[82, 77, 95, 80, 78]","[86, 75, 65, 96, 90]"
"[199, 152, 34, 6, 9]","[56, 55, 88, 95, 106]"
"[234, 152, 32, 11, 5]","[55, 74, 90, 105, 110]"
"[16, 97, 227, 81, 15]","[98, 90, 55, 82, 111]"
"[107, 90, 66, 93, 79]","[77, 101, 93, 86, 78]"
"[209, 175, 35, 4, 2]","[66, 55, 96, 121, 87]"
"[7, 80, 230, 99, 6]","[99, 81, 56, 83, 103]"
"[14, 111, 206, 101, 14]","[116, 73, 61, 79, 117]"
"[107, 71, 73, 76, 77]","[77, 104, 73, 73, 77]"
"[210, 147, 56, 17, 5]","[52, 73, 95, 107, 108]"
"[83, 88, 82, 90, 95]","[91, 96, 81, 87, 83]"
"[239, 147, 34, 7, 2]","[48, 75, 85, 99, 122]"
"[92, 92, 88, 81, 97]","[83, 85, 109, 75, 98]"
"[199, 177, 24, 16, 1]","[51, 73, 104, 93, 96]"
"[87, 65, 82, 86, 94]","[88, 91, 78, 76, 81]"
"[182, 160, 46, 20, 4]","[46, 81, 92, 95, 98]"
"[209, 167, 42, 18, 2]","[59, 62, 101, 96, 120]"
"[191, 154, 44, 11, 3]","[47, 62, 78, 108, 108]"
"[9, 103, 214, 82, 9]","[98, 94, 49, 77, 99]"
"[193, 156, 40, 8, 3]","[50, 63, 79, 91, 117]"
"[6, 100, 207, 95, 6]","[95, 78, 45, 94, 102]"
"[216, 148, 37, 9, 1]","[39, 69, 92, 102, 109]"
"[216, 160, 33, 6, 6]","[43, 72, 111, 99, 96]"
"[230, 151, 50, 7, 5]","[44, 76, 112, 131, 80]"
"[93, 81, 102, 71, 95]","[84, 80, 92, 104, 82]"
"[207, 161, 53, 13, 7]","[60, 82, 85, 101, 113]"
"[199, 153, 51, 2, 2]","[49, 71, 92, 104, 91]"
"[94, 88, 87, 81, 91]","[94, 90, 92, 82, 83]"
"[219, 141, 41, 15, 1]","[49, 72, 81, 109, 106]"
"[71, 100, 69, 95, 77]","[74, 83, 94, 78, 83]"
"[8, 100, 216, 84, 6]","[111, 84, 38, 80, 101]"
"[84, 94, 89, 89, 79]","[86, 81, 90, 87, 91]"
"[82, 72, 86, 88, 89]","[82, 86, 87, 82, 80]"
"[9, 90, 190, 103, 17]","[92, 73, 54, 82, 108]"
"[77, 85, 91, 103, 90]","[88, 101, 76, 87, 94]"
"[85, 87, 79, 80, 86]","[94, 82, 81, 62, 98]"
"[198, 169, 45, 16, 8]","[64, 69, 111, 101, 91]"
"[221, 165, 45, 11, 6]","[48, 79, 112, 111, 98]"
"[205, 155, 43, 9, 3]","[66, 60, 95, 83, 111]"
"[92, 91, 76, 73, 90]","[85, 88, 79, 81, 89]"
"[81, 73, 82, 88, 84]","[80, 88, 84, 79, 77]"
"[11, 109, 202, 94, 7]","[108, 73, 58, 73, 111]"
"[11, 114, 210, 86, 14]","[101, 70, 66, 95, 103]"
"[5, 89, 218, 84, 5]","[108, 71, 39, 79, 104]"
"[8, 109, 225, 87, 11]","[112, 74, 50, 86, 118]"
"[206, 155, 46, 14, 6]","[56, 62, 107, 110, 92]"
"[210, 167, 37, 16, 6]","[43, 69, 116, 95, 113]"
"[2, 84, 237, 75, 3]","[104, 80, 41, 82, 94]"
"[92, 86, 71, 76, 90]","[74, 77, 67, 96, 101]"
"[9, 96, 221, 110, 13]","[96, 83, 63, 91, 116]"
"[5, 97, 224, 75, 8]","[101, 72, 49, 89, 98]"
"[193, 185, 44, 17, 6]","[61, 49, 105, 109, 121]"
"[92, 100, 84, 86, 87]","[93, 89, 91, 88, 88]"
"[195, 174, 40, 13, 6]","[73, 64, 101, 86, 104]"
"[11, 108, 196, 100, 12]","[104, 60, 67, 101, 95]"
"[11, 102, 195, 100, 10]","[85, 91, 59, 76, 107]"
"[190, 144, 50, 16, 3]","[48, 60, 102, 98, 95]"
"[13, 108, 232, 91, 6]","[116, 82, 60, 100, 92]"
"[12, 80, 211, 102, 11]","[91, 89, 52, 82, 102]"
"[86, 92, 88, 79, 94]","[99, 90, 89, 84, 77]"
"[76, 95, 85, 73, 86]","[86, 70, 91, 89, 79]"
"[14, 106, 206, 97, 10]","[98, 83, 62, 83, 107]"
"[89, 83, 77, 84, 70]","[75, 80, 77, 72, 99]"
"[236, 131, 28, 8, 2]","[38, 71, 104, 97, 95]"
"[205, 179, 52, 10, 2]","[60, 75, 104, 110, 99]"
"[77, 80, 97, 87, 95]","[86, 98, 84, 94, 74]"
"[10, 95, 208, 115, 12]","[113, 91, 58, 81, 97]"
"[4, 105, 218, 97, 4]","[101, 87, 52, 88, 100]"
"[11, 97, 192, 102, 11]","[113, 77, 39, 75, 109]"
"[83, 79, 86, 98, 92]","[84, 94, 98, 73, 89]"
"[97, 88, 80, 92, 76]","[91, 76, 93, 76, 97]"
"[200, 167, 41, 18, 7]","[64, 79, 103, 81, 106]"
"[9, 94, 225, 96, 15]","[115, 90, 54, 81, 99]"
"[72, 87, 80, 73, 88]","[86, 72, 76, 90, 76]"
"[221, 171, 36, 8, 2]","[50, 71, 95, 89, 133]"
"[237, 148, 38, 7, 5]","[49, 57, 122, 107, 100]"
"[198, 178, 41, 8, 4]","[53, 65, 112, 92, 107]"
"[84, 107, 79, 79, 68]","[85, 84, 86, 79, 83]"
"[7, 110, 207, 114, 11]","[98, 88, 49, 94, 120]"
"[99, 85, 85, 82, 70]","[82, 90, 94, 77, 78]"
"[7, 96, 215, 89, 2]","[113, 75, 46, 72, 103]"
"[16, 102, 199, 119, 4]","[128, 89, 47, 80, 96]"
"[210, 150, 34, 10, 3]","[44, 67, 77, 97, 122]"
"[102, 81, 73, 96, 89]","[98, 83, 86, 85, 89]"
"[196, 182, 43, 14, 5]","[73, 60, 96, 91, 120]"
"[80, 73, 94, 100, 101]","[72, 92, 89, 102, 93]"
"[217, 147, 31, 17, 2]","[42, 74, 93, 104, 101]"
"[91, 83, 96, 84, 89]","[78, 96, 75, 97, 97]"
"[83, 92, 79, 90, 73]","[78, 83, 89, 90, 77]"
"[90, 95, 87, 82, 92]","[88, 81, 100, 88, 89]"
"[81, 78, 77, 84, 87]","[90, 81, 83, 78, 75]"
"[220, 153, 40, 11, 1]","[41, 57, 91, 123, 113]"
"[205, 177, 43, 15, 2]","[67, 69, 107, 92, 107]"
"[196, 155, 45, 12, 6]","[58, 71, 89, 98, 98]"
"[10, 83, 193, 106, 8]","[103, 66, 54, 69, 108]"
"[9, 111, 186, 96, 10]","[105, 73, 50, 70, 114]"
"[12, 98, 197, 101, 12]","[91, 71, 61, 92, 105]"
"[5, 83, 221, 105, 11]","[98, 87, 46, 87, 107]"
"[7, 107, 212, 88, 5]","[92, 83, 48, 83, 113]"
"[214, 151, 43, 19, 3]","[49, 70, 104, 100, 107]"
"[196, 145, 42, 13, 5]","[55, 68, 92, 93, 93]"
"[190, 156, 43, 11, 8]","[41, 67, 110, 98, 92]"
"[112, 93, 84, 54, 78]","[76, 77, 86, 103, 79]"
"[219, 176, 30, 7, 1]","[54, 52, 98, 109, 120]"
"[6, 98, 208, 91, 7]","[97, 79, 54, 82, 98]"
"[209, 164, 34, 7, 3]","[47, 60, 93, 106, 111]"
"[9, 98, 217, 111, 9]","[100, 99, 67, 86, 92]"
"[8, 112, 219, 95, 5]","[112, 78, 59, 72, 118]"
"[79, 92, 75, 84, 71]","[83, 94, 76, 69, 79]"
"[88, 90, 96, 82, 94]","[70, 94, 98, 94, 94]"
"[12, 111, 215, 87, 13]","[95, 84, 67, 87, 105]"
"[7, 113, 221, 94, 13]","[117, 76, 50, 97, 108]"
"[195, 155, 42, 14, 2]","[58, 60, 97, 96, 97]"
"[95, 91, 100, 82, 80]","[90, 97, 86, 80, 95]"
"[7, 83, 221, 93, 8]","[97, 77, 45, 89, 104]"
"[8, 101, 221, 84, 12]","[103, 72, 53, 98, 100]"
"[9, 104, 219, 86, 7]","[98, 77, 54, 84, 112]"
"[11, 109, 191, 100, 13]","[109, 77, 48, 84, 106]"
"[220, 174, 37, 5, 1]","[43, 60, 114, 111, 109]"
"[197, 169, 35, 13, 5]","[48, 71, 102, 94, 104]"
"[202, 148, 40, 8, 4]","[45, 55, 94, 110, 98]"
"[11, 88, 201, 112, 8]","[101, 88, 61, 79, 91]"
"[228, 158, 44, 4, 3]","[56, 67, 84, 106, 124]"
"[6, 88, 236, 94, 9]","[112, 92, 42, 80, 107]"
"[227, 163, 31, 12, 5]","[48, 65, 110, 99, 116]"
"[205, 163, 41, 8, 2]","[49, 70, 93, 110, 97]"
"[213, 149, 54, 16, 6]","[53, 78, 93, 110, 104]"
"[9, 115, 225, 84, 8]","[118, 65, 45, 87, 126]"
"[6, 87, 205, 97, 5]","[96, 88, 44, 61, 111]"
"[3, 102, 220, 93, 3]","[115, 81, 43, 86, 96]"
"[4, 92, 229, 86, 9]","[103, 80, 45, 91, 101]"
"[12, 101, 198, 119, 9]","[103, 89, 63, 79, 105]"
"[194, 171, 53, 13, 2]","[58, 61, 99, 98, 117]"
"[7, 104, 205, 94, 13]","[99, 80, 45, 86, 113]"
"[79, 71, 92, 89, 71]","[77, 80, 67, 76, 102]"
"[224, 158, 42, 13, 1]","[60, 62, 91, 120, 105]"
"[210, 181, 39, 13, 4]","[60, 79, 107, 105, 96]"
"[11, 103, 216, 100, 7]","[91, 110, 42, 87, 107]"
"[202, 158, 54, 16, 3]","[57, 68, 83, 113, 112]"
"[13, 80, 197, 107, 5]","[95, 86, 45, 73, 103]"
"[191, 160, 38, 10, 2]","[43, 62, 80, 104, 112]"
"[4, 88, 236, 109, 8]","[109, 91, 50, 79, 116]"
"[10, 97, 222, 105, 9]","[105, 74, 63, 86, 115]"
"[68, 91, 91, 83, 87]","[85, 74, 92, 89, 80]"
"[217, 177, 35, 12, 7]","[64, 68, 103, 113, 100]"
"[217, 161, 33, 15, 7]","[58, 57, 108, 95, 115]"
"[6, 96, 203, 84, 13]","[109, 72, 53, 80, 88]"
"[102, 92, 81, 88, 79]","[85, 87, 89, 92, 89]"
"[216, 137, 41, 7, 3]","[52, 73, 87, 102, 90]"
"[76, 82, 80, 100, 98]","[89, 89, 80, 79, 99]"
"[72, 92, 83, 96, 77]","[94, 68, 88, 82, 88]"
"[81, 101, 76, 86, 89]","[82, 76, 108, 85, 82]"
"[10, 105, 216, 102, 8]","[104, 89, 54, 75, 119]"
"[90, 69, 92, 66, 87]","[80, 95, 82, 80, 67]"
"[188, 157, 36, 15, 5]","[51, 71, 92, 103, 84]"
"[195, 159, 48, 15, 7]","[48, 70, 95, 107, 104]"
"[9, 88, 216, 79, 8]","[92, 90, 48, 77, 93]"
"[204, 160, 38, 8, 7]","[56, 65, 100, 100, 96]"
"[213, 148, 44, 14, 5]","[57, 76, 109, 96, 86]"
"[102, 85, 70, 88, 82]","[71, 89, 103, 71, 93]"
"[7, 89, 249, 91, 7]","[115, 86, 60, 88, 94]"
"[13, 84, 204, 105, 7]","[90, 83, 54, 81, 105]"
"[217, 176, 39, 11, 6]","[65, 85, 99, 102, 98]"
"[80, 83, 86, 80, 90]","[101, 87, 86, 77, 68]"
"[194, 181, 54, 9, 4]","[73, 70, 91, 102, 106]"
"[10, 99, 205, 110, 10]","[107, 81, 57, 80, 109]"
"[8, 88, 233, 94, 8]","[105, 93, 32, 86, 115]"
"[91, 83, 92, 81, 89]","[79, 89, 82, 101, 85]"
"[18, 93, 242, 90, 5]","[107, 96, 47, 88, 110]"
"[9, 96, 224, 104, 11]","[123, 77, 51, 90, 103]"
"[221, 173, 41, 8, 6]","[64, 61, 114, 103, 107]"
"[79, 84, 80, 87, 98]","[87, 80, 88, 88, 85]"
"[10, 87, 200, 91, 15]","[100, 72, 43, 80, 108]"
"[208, 169, 42, 12, 6]","[58, 76, 101, 95, 107]"
"[92, 80, 84, 70, 81]","[94, 95, 69, 77, 72]"
"[12, 100, 209, 88, 9]","[91, 90, 39, 99, 99]"
"[216, 147, 37, 13, 1]","[47, 71, 107, 94, 95]"
"[10, 88, 236, 87, 10]","[99, 109, 51, 76, 96]"
"[233, 168, 30, 14, 4]","[49, 67, 100, 117, 116]"
"[14, 100, 220, 97, 9]","[110, 88, 66, 87, 89]"
"[77, 98, 89, 84, 61]","[78, 68, 79, 96, 88]"
"[78, 86, 80, 82, 93]","[85, 79, 84, 98, 73]"
"[86, 95, 85, 90, 90]","[80, 83, 97, 100, 86]"
"[179, 165, 57, 9, 5]","[52, 54, 84, 99, 126]"
"[12, 103, 196, 108, 15]","[111, 80, 56, 86, 101]"
"[6, 92, 252, 84, 9]","[111, 75, 46, 90, 121]"
